Country,Latitude,Longitude
Afghanistan,33.768006,66.238514
Albania,41.000028,19.999962
Algeria,28.000027,2.999983
Andorra,42.540717,1.573203
Angola,-11.877577,17.569124
Antigua and Barbuda,17.223472,-61.955461
Argentina,-34.996496,-64.967282
Armenia,40.769627,44.673665
Australia,-24.776109,134.755000
Austria,47.593970,14.124560
Azerbaijan,40.393629,47.787251
Bahamas,24.773655,-78.000055
Bahrain,26.155125,50.534461
Bangladesh,24.476929,90.293441
Barbados,13.150033,-59.525030
Belarus,53.425061,27.697136
Belgium,50.640281,4.666715
Belize,17.120494,-88.685903
Benin,9.529347,2.258441
Bhutan,27.549511,90.511927
Bolivia,-17.056870,-64.991229
Botswana,-23.168178,24.592874
Brazil,-10.333333,-53.200000
Brunei,4.413716,114.565391
Bulgaria,42.607397,25.485662
Burkina Faso,12.075308,-1.688031
Burundi,-3.426449,29.932452
Cabo Verde,16.000055,-24.008395
Cambodia,12.543322,104.814491
Cameroon,4.612552,13.153581
Canada,61.066692,-107.991707
Central African Republic,7.032360,19.998123
Chad,15.613414,19.015617
Chile,-31.761336,-71.318770
China,35.000074,104.999927
Colombia,4.099917,-72.908813
Comoros,-12.204518,44.283296
Costa Rica,10.273563,-84.073910
Cote d'Ivoire,7.989737,-5.567946
Croatia,45.365844,15.657521
Cuba,23.013134,-80.832875
Cyprus,34.982302,33.145128
Czech Republic,49.743905,15.338106
Democratic Republic of the Congo,-2.981434,23.822264
Denmark,55.670249,10.333328
Djibouti,11.814597,42.845306
Dominica,19.097403,-70.302803
Dominican Republic,19.097403,-70.302803
Ecuador,-1.339767,-79.366697
Egypt,26.254049,29.267547
El Salvador,13.800038,-88.914068
Equatorial Guinea,1.613172,10.517036
Eritrea,15.950032,37.999967
Estonia,58.752378,25.331908
Eswatini,-26.562481,31.399132
Ethiopia,10.211670,38.652120
Fiji,-18.123970,179.012274
Finland,63.246778,25.920916
France,46.603354,1.888334
Gabon,-0.899969,11.689970
Gambia,13.470062,-15.490046
Georgia,41.680867,44.028781
Germany,51.163818,10.447831
Ghana,8.030028,-1.080027
Greece,38.995368,21.987713
Grenada,12.136037,-61.690404
Guatemala,15.585555,-90.345759
Guinea,10.722623,-10.708359
Guinea-Bissau,11.815215,-15.235104
